============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Nov 16 2021  09:02:13 am
  Module:                 axis_accelerator_asic
  Technology libraries:   scadv10_cln65gp_hvt_tt_1p0v_25c 1.0
                          physical_cells 
  Operating conditions:   tt_1p0v_25c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                     Instance                                           Module                        Cell Count   Cell Area   Net Area   Total Area 
-----------------------------------------------------------------------------------------------------------------------------------------------------
axis_accelerator_asic                                                                                     257965 1411084.000 462212.734  1873296.734 
  CONV_ENGINE                                     axis_conv_engine_ZERO0                                  179729  877088.400 316900.809  1193989.209 
    ENGINE                                        conv_engine_ZERO0                                       163576  747897.600 282905.970  1030803.570 
      Ca[0].Ga[0].Ua[6].Ma[36].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         259    1152.800    394.705     1547.505 
        MUL                                       multiplier_raw_612                                         138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_612                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_612               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[6].Ma[33].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         259    1153.600    392.626     1546.226 
        MUL                                       multiplier_raw_609                                         139     554.000    221.543      775.543 
        ACC                                       accumulator_raw_609                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_609               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[0].Ma[51].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         259    1153.600    392.626     1546.226 
        MUL                                       multiplier_raw_51                                          139     554.000    221.543      775.543 
        ACC                                       accumulator_raw_51                                          74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_51                25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[4].Ma[51].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         259    1153.600    392.626     1546.226 
        MUL                                       multiplier_raw_435                                         139     554.000    221.543      775.543 
        ACC                                       accumulator_raw_435                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_435               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[5].Ma[40].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         258    1150.400    393.118     1543.518 
        MUL                                       multiplier_raw_520                                         138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_520                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_520               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[0].Ma[52].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         258    1150.400    393.118     1543.518 
        MUL                                       multiplier_raw_52                                          138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_52                                          74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_52                25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[0].Ma[56].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         258    1150.400    393.118     1543.518 
        MUL                                       multiplier_raw_56                                          138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_56                                          74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_56                25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[1].Ma[49].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         258    1150.400    393.118     1543.518 
        MUL                                       multiplier_raw_145                                         138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_145                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_145               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[1].Ma[53].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         258    1150.400    393.118     1543.518 
        MUL                                       multiplier_raw_149                                         138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_149                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_149               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[2].Ma[53].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         258    1150.400    393.118     1543.518 
        MUL                                       multiplier_raw_245                                         138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_245                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_245               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[2].Ma[56].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         258    1150.400    393.118     1543.518 
        MUL                                       multiplier_raw_248                                         138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_248                                         74     455.600     88.278      543.878 
