============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Nov 16 2021  09:02:18 am
  Module:                 axis_accelerator_asic
  Technology libraries:   scadv10_cln65gp_hvt_tt_1p0v_25c 1.0
                          physical_cells 
  Operating conditions:   tt_1p0v_25c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                          
       Gate        Instances     Area                   Library              
-----------------------------------------------------------------------------
A2DFFQNX1MA10TH            1        8.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
A2DFFQX0P5MA10TH        3177    27957.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
A2DFFQX1MA10TH            77      677.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
A2DFFQX2MA10TH             3       27.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
A2SDFFQX0P5MA10TH          1       10.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
ADDFX1MA10TH           32256   270950.400    scadv10_cln65gp_hvt_tt_1p0v_25c 
ADDHX1MA10TH            4112    21382.400    scadv10_cln65gp_hvt_tt_1p0v_25c 
AND2X11MA10TH              1       12.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
AND2X1MA10TH           14793    35503.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
AND2X2MA10TH              46      128.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
AND2X3MA10TH               6       26.400    scadv10_cln65gp_hvt_tt_1p0v_25c 
AND2X4MA10TH               9       43.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
AND3X1MA10TH              19       53.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
AND3X1P4MA10TH             7       25.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
AND4X0P7MA10TH            30       96.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
AND4X1P4MA10TH             1        6.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
AO1B2X1MA10TH           6026    16872.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
