============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Nov 16 2021  09:03:24 am
  Module:                 axis_accelerator_asic
  Operating conditions:   tt_1p0v_25c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage      Dynamic        Total     
             Instance               Cells  Power(nW)    Power(nW)     Power(nW)   
----------------------------------------------------------------------------------
axis_accelerator_asic              257965 4187315.090 333580490.183 337767805.273 
  CONV_ENGINE                      179729 2821247.232 200547439.227 203368686.460 
    ENGINE                         163576 2580752.627 156393873.503 158974626.130 
      Ca[0].Ga[0..SSING_ELEMENT       259    4011.271    200139.894    204151.166 
        MUL                           138    2147.963    109457.414    111605.377 
        ACC                            74    1311.529     72975.863     74287.393 
          REG                          25     363.285     38321.106     38684.392 
            RC_CG_HIER_INST106          1      11.593      3129.667      3141.260 
      Ca[0].Ga[0..SSING_ELEMENT       259    4010.260    203073.985    207084.245 
        MUL                           139    2152.423    109944.607    112097.030 
        ACC                            74    1314.899     75734.030     77048.929 
          REG                          25     363.630     39256.576     39620.205 
            RC_CG_HIER_INST63           1      11.593      3126.544      3138.137 
      Ca[0].Ga[0..SSING_ELEMENT       259    4010.260    203263.473    207273.733 
        MUL                           139    2152.423    110134.095    112286.518 
        ACC                            74    1314.899     75734.030     77048.929 
          REG                          25     363.630     39256.576     39620.205 
            RC_CG_HIER_INST1            1      11.593      3126.544      3138.137 
      Ca[0].Ga[0..SSING_ELEMENT       258    4007.063    210727.760    214734.823 
        MUL                           138    2147.963    109120.265    111268.228 
        ACC                            74    1316.044     82622.269     83938.312 
          REG                          25     364.601     43794.460     44159.061 
            RC_CG_HIER_INST68           1      11.593      3126.540      3138.134 
      Ca[0].Ga[0..SSING_ELEMENT       258    4007.063    210944.470    214951.533 
        MUL                           138    2147.963    109337.017    111484.980 
        ACC                            74    1316.044     82622.262     83938.305 
          REG                          25     364.601     43794.460     44159.061 
            RC_CG_HIER_INST37           1      11.593      3126.540      3138.134 
      Ca[0].Ga[0..SSING_ELEMENT       258    4006.974    210459.115    214466.088 
        MUL                           138    2147.963    109605.668    111753.630 
        ACC                            74    1315.930     82076.641     83392.571 
          REG                          25     364.538     43495.425     43859.963 
            RC_CG_HIER_INST6            1      11.593      3126.540      3138.134 
