============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 03 2021  09:52:50 pm
  Module:                 axis_conv_engine
  Technology libraries:   tcbn45gsbwpbc 120
                          physical_cells 
  Operating conditions:   BCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                                     Module                        Cell Count  Cell Area  Net Area   Total Area 
--------------------------------------------------------------------------------------------------------------------------------------
axis_conv_engine                                                                              62108 175429.094 55926.741   231355.835 
  ENGINE                             conv_engine_ZERO0                                        47841 125966.182 32323.182   158289.363 
    Cm[0].Gm[0].Um[13].Mm[13].MUL    multiplier_195                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6743                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_195               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[13].Mm[12].MUL    multiplier_194                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6744                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_194               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[13].Mm[11].MUL    multiplier_193                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6745                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_193               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[13].Mm[10].MUL    multiplier_192                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6746                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_192               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[13].Mm[9].MUL     multiplier_191                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6747                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_191               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[13].Mm[8].MUL     multiplier_190                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6748                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_190               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[13].Mm[7].MUL     multiplier_189                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6750                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_189               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[13].Mm[6].MUL     multiplier_188                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6751                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_188               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[13].Mm[5].MUL     multiplier_187                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6752                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_187               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[13].Mm[4].MUL     multiplier_186                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6753                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_186               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[13].Mm[3].MUL     multiplier_185                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6754                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_185               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[13].Mm[2].MUL     multiplier_184                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6755                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_184               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[13].Mm[1].MUL     multiplier_183                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6756                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_183               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[13].Mm[0].MUL     multiplier_182                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6757                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_182               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[13].MUL    multiplier_181                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6758                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_181               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[12].MUL    multiplier_180                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6759                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_180               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[11].MUL    multiplier_179                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6761                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_179               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[10].MUL    multiplier_178                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6762                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_178               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[9].MUL     multiplier_177                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6763                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_177               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[8].MUL     multiplier_176                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6764                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_176               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[7].MUL     multiplier_175                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6765                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_175               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[6].MUL     multiplier_174                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6766                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_174               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[5].MUL     multiplier_173                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6767                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_173               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[4].MUL     multiplier_172                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6768                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_172               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[3].MUL     multiplier_171                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6769                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_171               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[2].MUL     multiplier_170                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6770                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_170               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[1].MUL     multiplier_169                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6772                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_169               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[0].MUL     multiplier_168                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6773                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_168               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[11].Mm[13].MUL    multiplier_167                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6774                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_167               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[11].Mm[12].MUL    multiplier_166                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6775                                     130    283.651    81.171      364.822 
