============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 05 2021  04:51:22 pm
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpbc0d88 120
                          tcbn45gsbwpbc0d880d88 120
                          tcbn45gsbwpbc0d880d99 120
                          tcbn45gsbwpbc0d881d1 120
                          physical_cells 
  Operating conditions:   BC0D88COM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                                    Module                        Cell Count  Cell Area   Net Area   Total Area 
--------------------------------------------------------------------------------------------------------------------------------------
axis_accelerator_asic                                                                        98777 252343.022 164777.565   417120.588 
  CONV_ENGINE                       axis_conv_engine_ZERO0                                   46298 107133.718  79142.101   186275.819 
    ENGINE                          conv_engine_ZERO0                                        46288 107113.079  79129.275   186242.353 
      Cm[0].Gm[0].Um[13].Mm[0].MUL  multiplier_raw_182                                         129    260.190    204.109      464.299 
      Cm[0].Gm[0].Um[12].Mm[0].MUL  multiplier_raw_168                                         129    260.190    204.109      464.299 
      Cm[0].Gm[0].Um[11].Mm[0].MUL  multiplier_raw_154                                         129    260.190    204.109      464.299 
      Cm[0].Gm[0].Um[10].Mm[0].MUL  multiplier_raw_140                                         129    260.190    204.109      464.299 
      Cm[0].Gm[0].Um[9].Mm[0].MUL   multiplier_raw_126                                         129    260.190    204.109      464.299 
      Cm[0].Gm[0].Um[8].Mm[0].MUL   multiplier_raw_112                                         129    260.190    204.109      464.299 
      Cm[0].Gm[0].Um[7].Mm[0].MUL   multiplier_raw_98                                          129    260.190    204.109      464.299 
      Cm[0].Gm[0].Um[6].Mm[0].MUL   multiplier_raw_84                                          129    260.190    204.109      464.299 
      Cm[0].Gm[0].Um[5].Mm[0].MUL   multiplier_raw_70                                          129    260.190    204.109      464.299 
      Cm[0].Gm[0].Um[4].Mm[0].MUL   multiplier_raw_56                                          129    260.190    204.109      464.299 
      Cm[0].Gm[0].Um[3].Mm[0].MUL   multiplier_raw_42                                          129    260.190    204.109      464.299 
      Cm[0].Gm[0].Um[2].Mm[0].MUL   multiplier_raw_28                                          129    260.190    204.109      464.299 
      Cm[0].Gm[0].Um[1].Mm[0].MUL   multiplier_raw_14                                          129    260.190    204.109      464.299 
      Cm[0].Gm[0].Um[0].Mm[0].MUL   multiplier_raw                                             129    260.190    204.109      464.299 
      Cm[0].Gm[0].Um[13].Mm[13].MUL multiplier_raw_195                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[13].Mm[12].MUL multiplier_raw_194                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[13].Mm[11].MUL multiplier_raw_193                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[13].Mm[10].MUL multiplier_raw_192                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[13].Mm[9].MUL  multiplier_raw_191                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[13].Mm[8].MUL  multiplier_raw_190                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[13].Mm[7].MUL  multiplier_raw_189                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[13].Mm[6].MUL  multiplier_raw_188                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[13].Mm[5].MUL  multiplier_raw_187                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[13].Mm[4].MUL  multiplier_raw_186                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[13].Mm[3].MUL  multiplier_raw_185                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[13].Mm[2].MUL  multiplier_raw_184                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[13].Mm[1].MUL  multiplier_raw_183                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[12].Mm[13].MUL multiplier_raw_181                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[12].Mm[12].MUL multiplier_raw_180                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[12].Mm[11].MUL multiplier_raw_179                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[12].Mm[10].MUL multiplier_raw_178                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[12].Mm[9].MUL  multiplier_raw_177                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[12].Mm[8].MUL  multiplier_raw_176                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[12].Mm[7].MUL  multiplier_raw_175                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[12].Mm[6].MUL  multiplier_raw_174                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[12].Mm[5].MUL  multiplier_raw_173                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[12].Mm[4].MUL  multiplier_raw_172                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[12].Mm[3].MUL  multiplier_raw_171                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[12].Mm[2].MUL  multiplier_raw_170                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[12].Mm[1].MUL  multiplier_raw_169                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[11].Mm[13].MUL multiplier_raw_167                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[11].Mm[12].MUL multiplier_raw_166                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[11].Mm[11].MUL multiplier_raw_165                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[11].Mm[10].MUL multiplier_raw_164                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[11].Mm[9].MUL  multiplier_raw_163                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[11].Mm[8].MUL  multiplier_raw_162                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[11].Mm[7].MUL  multiplier_raw_161                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[11].Mm[6].MUL  multiplier_raw_160                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[11].Mm[5].MUL  multiplier_raw_159                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[11].Mm[4].MUL  multiplier_raw_158                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[11].Mm[3].MUL  multiplier_raw_157                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[11].Mm[2].MUL  multiplier_raw_156                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[11].Mm[1].MUL  multiplier_raw_155                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[13].MUL multiplier_raw_153                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[12].MUL multiplier_raw_152                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[11].MUL multiplier_raw_151                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[10].MUL multiplier_raw_150                                         129    260.190    203.605      463.795 
