============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 06 2021  09:18:39 am
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpbc0d88 120
                          tcbn45gsbwpbc0d880d88 120
                          tcbn45gsbwpbc0d880d99 120
                          tcbn45gsbwpbc0d881d1 120
                          physical_cells 
  Operating conditions:   BC0D88COM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     
     Gate      Instances     Area           Library       
----------------------------------------------------------
AN2D0BWP               1       1.058    tcbn45gsbwpbc0d88 
AN2D4BWP               2       4.234    tcbn45gsbwpbc0d88 
AN2D8BWP               3      10.584    tcbn45gsbwpbc0d88 
AN2XD1BWP           3307    3500.129    tcbn45gsbwpbc0d88 
AN3D1BWP               1       1.235    tcbn45gsbwpbc0d88 
AN3D2BWP               4       5.645    tcbn45gsbwpbc0d88 
AN3D4BWP               1       2.646    tcbn45gsbwpbc0d88 
AN3D8BWP               1       4.234    tcbn45gsbwpbc0d88 
AN3XD1BWP             22      27.166    tcbn45gsbwpbc0d88 
AN4D1BWP              12      16.934    tcbn45gsbwpbc0d88 
AO211D0BWP             1       1.411    tcbn45gsbwpbc0d88 
AO211D1BWP             8      11.290    tcbn45gsbwpbc0d88 
AO21D0BWP              1       1.235    tcbn45gsbwpbc0d88 
AO21D1BWP             84     103.723    tcbn45gsbwpbc0d88 
AO21D4BWP              1       2.646    tcbn45gsbwpbc0d88 
AO221D1BWP           288     558.835    tcbn45gsbwpbc0d88 
AO222D1BWP           597    1263.730    tcbn45gsbwpbc0d88 
AO22D0BWP           1063    1687.619    tcbn45gsbwpbc0d88 
AO22D1BWP           1426    2263.918    tcbn45gsbwpbc0d88 
AO22D2BWP             24      46.570    tcbn45gsbwpbc0d88 
AO22D4BWP              2       6.350    tcbn45gsbwpbc0d88 
AO31D1BWP              1       1.411    tcbn45gsbwpbc0d88 
AO32D1BWP              2       3.881    tcbn45gsbwpbc0d88 
AOI211XD0BWP          54      66.679    tcbn45gsbwpbc0d88 
