============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 08 2021  03:22:33 am
  Module:                 axis_accelerator_asic
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                                Leakage      Dynamic        Total     
               Instance                 Cells  Power(nW)    Power(nW)     Power(nW)   
--------------------------------------------------------------------------------------
axis_accelerator_asic                  173900 5751072.798 407887859.983 413638932.780 
  CONV_ENGINE                          115871 3986547.143 319398308.206 323384855.349 
    ENGINE                             115858 3986302.915 319381831.447 323368134.362 
      Cm[0].Gm[0..9].Mm[10].MUL           498   16537.658   1316001.066   1332538.724 
      Cm[0].Gm[0..5].Mm[10].MUL           477   16436.213   1308816.885   1325253.098 
      Cm[0].Gm[0..0].Mm[10].MUL           470   16269.401   1337804.744   1354074.145 
      Cm[0].Gm[0..10].Mm[4].MUL           482   16201.700   1286277.584   1302479.284 
      Cm[0].Gm[0..[9].Mm[5].MUL           455   16106.918   1264316.931   1280423.849 
      Cm[0].Gm[0..10].Mm[1].MUL           445   16077.371   1283559.198   1299636.569 
      Cm[0].Gm[0..[6].Mm[4].MUL           473   16068.164   1291148.870   1307217.034 
      Cm[0].Gm[0..10].Mm[0].MUL           501   16015.888   1287592.398   1303608.286 
      Cm[0].Gm[0..10].Mm[5].MUL           471   15994.212   1288808.698   1304802.909 
      Cm[0].Gm[0..[8].Mm[4].MUL           472   15977.541   1279016.313   1294993.854 
      Cm[0].Gm[0..[9].Mm[3].MUL           457   15956.862   1267206.476   1283163.337 
      Cm[0].Gm[0..[3].Mm[4].MUL           464   15932.439   1278649.920   1294582.359 
      Cm[0].Gm[0..[9].Mm[6].MUL           471   15921.314   1280930.732   1296852.046 
      Cm[0].Gm[0..[8].Mm[0].MUL           446   15902.368   1262038.551   1277940.918 
      Cm[0].Gm[0..2].Mm[10].MUL           476   15896.686   1286131.913   1302028.599 
      Cm[0].Gm[0..[0].Mm[7].MUL           477   15877.002   1316004.486   1331881.488 
      Cm[0].Gm[0..9].Mm[12].MUL           459   15861.697   1262617.870   1278479.567 
      Cm[0].Gm[0..[0].Mm[9].MUL           467   15852.346   1323425.262   1339277.608 
      Cm[0].Gm[0..10].Mm[2].MUL           452   15777.170   1268433.577   1284210.748 
      Cm[0].Gm[0..[6].Mm[1].MUL           435   15758.078   1268722.549   1284480.627 
      Cm[0].Gm[0..[9].Mm[9].MUL           467   15750.656   1269277.107   1285027.763 
      Cm[0].Gm[0..[6].Mm[3].MUL           421   15748.847   1266379.984   1282128.831 
      Cm[0].Gm[0..[9].Mm[7].MUL           467   15740.976   1246579.233   1262320.209 
      Cm[0].Gm[0..[7].Mm[9].MUL           476   15739.681   1276672.809   1292412.489 
      Cm[0].Gm[0..[8].Mm[1].MUL           467   15730.906   1278727.494   1294458.399 
      Cm[0].Gm[0..12].Mm[7].MUL           471   15707.466   1252627.712   1268335.177 
      Cm[0].Gm[0..8].Mm[10].MUL           452   15680.842   1265920.877   1281601.719 
      Cm[0].Gm[0..[6].Mm[5].MUL           459   15673.783   1265901.872   1281575.655 
      Cm[0].Gm[0..[5].Mm[9].MUL           463   15671.880   1280477.092   1296148.972 
      Cm[0].Gm[0..10].Mm[9].MUL           453   15661.485   1262403.397   1278064.882 
      Cm[0].Gm[0..[9].Mm[0].MUL           458   15661.022   1272037.975   1287698.997 
      Cm[0].Gm[0..0].Mm[12].MUL           456   15648.112   1309655.846   1325303.957 
      Cm[0].Gm[0..[3].Mm[1].MUL           458   15640.502   1279347.801   1294988.303 
      Cm[0].Gm[0..[6].Mm[9].MUL           458   15633.961   1280422.391   1296056.352 
      Cm[0].Gm[0..[9].Mm[1].MUL           475   15627.932   1264153.737   1279781.669 
      Cm[0].Gm[0..2].Mm[10].MUL           463   15623.733   1272875.875   1288499.607 
      Cm[0].Gm[0..9].Mm[13].MUL           525   15623.545   1284642.319   1300265.863 
      Cm[0].Gm[0..[7].Mm[7].MUL           461   15622.580   1257152.908   1272775.488 
      Cm[0].Gm[0..7].Mm[10].MUL           468   15617.323   1275497.333   1291114.656 
      Cm[0].Gm[0..0].Mm[11].MUL           447   15617.218   1299706.116   1315323.335 
      Cm[0].Gm[0..0].Mm[11].MUL           449   15608.040   1262813.776   1278421.816 
