============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 18 2021  03:36:02 am
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpcgtc 200
                          tcbn45gsbwptc 120
                          physical_cells 
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                    
    Gate      Instances     Area         Library     
-----------------------------------------------------
AN2D0BWP              3       3.175    tcbn45gsbwptc 
AN2D1BWP              1       1.058    tcbn45gsbwptc 
AN2D2BWP            123     151.880    tcbn45gsbwptc 
AN2D4BWP              9      19.051    tcbn45gsbwptc 
AN2D8BWP              4      14.112    tcbn45gsbwptc 
AN2XD1BWP         31982   33849.749    tcbn45gsbwptc 
AN3D2BWP              2       2.822    tcbn45gsbwptc 
AN3D4BWP              3       7.938    tcbn45gsbwptc 
AN3XD1BWP            10      12.348    tcbn45gsbwptc 
AN4D0BWP              2       2.822    tcbn45gsbwptc 
AN4D1BWP              9      12.701    tcbn45gsbwptc 
AO211D1BWP           33      46.570    tcbn45gsbwptc 
AO21D1BWP           241     297.587    tcbn45gsbwptc 
AO21D2BWP            33      46.570    tcbn45gsbwptc 
AO21D4BWP             4      10.584    tcbn45gsbwptc 
AO221D1BWP         1487    2885.375    tcbn45gsbwptc 
AO222D1BWP         2769    5861.419    tcbn45gsbwptc 
AO22D0BWP          1442    2289.319    tcbn45gsbwptc 
AO22D1BWP          2693    4275.407    tcbn45gsbwptc 
AO22D2BWP            44      85.378    tcbn45gsbwptc 
AO22D4BWP            13      41.278    tcbn45gsbwptc 
AO31D1BWP             4       5.645    tcbn45gsbwptc 
AO33D1BWP             2       3.881    tcbn45gsbwptc 
AOI211D1BWP           1       1.235    tcbn45gsbwptc 
AOI211XD0BWP         45      55.566    tcbn45gsbwptc 
AOI21D1BWP          893     945.151    tcbn45gsbwptc 
AOI21D2BWP          538     854.129    tcbn45gsbwptc 
AOI21D4BWP         1320    4191.264    tcbn45gsbwptc 
AOI221D1BWP         816    1295.482    tcbn45gsbwptc 
AOI222D1BWP         390     756.756    tcbn45gsbwptc 
AOI22D1BWP         1760    2173.248    tcbn45gsbwptc 
AOI22D2BWP           39      82.555    tcbn45gsbwptc 
AOI22D4BWP          112     474.163    tcbn45gsbwptc 
AOI31D1BWP            5       6.174    tcbn45gsbwptc 
AOI31D2BWP            2       4.234    tcbn45gsbwptc 
AOI32D1BWP            1       1.411    tcbn45gsbwptc 
AOI33D1BWP           12      21.168    tcbn45gsbwptc 
BENCD1BWP             3      12.172    tcbn45gsbwptc 
BMLD1BWP              3      13.759    tcbn45gsbwptc 
