============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 04 2021  10:01:45 pm
  Module:                 axis_conv_engine
  Technology libraries:   tcbn45gsbwpbc0d88 120
                          tcbn45gsbwpbc0d880d88 120
                          tcbn45gsbwpbc0d880d99 120
                          tcbn45gsbwpbc0d881d1 120
                          physical_cells 
  Operating conditions:   BC0D88COM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                                     Module                        Cell Count  Cell Area  Net Area   Total Area 
--------------------------------------------------------------------------------------------------------------------------------------
axis_conv_engine                                                                             227309 455103.012  4942.625   460045.637 
  ENGINE                             conv_engine_ZERO0                                       193934 359018.449     0.000   359018.449 
    PAD_FILTER                       pad_filter_ZERO0                                           754   1574.771     0.000     1574.771 
      genblk3[13].COL_END_MASKED_REG register_WORD_WIDTH5_RESET_VALUE0_15                        23     57.112     0.000       57.112 
      genblk3[12].COL_END_MASKED_REG register_WORD_WIDTH5_RESET_VALUE0_14                        23     57.112     0.000       57.112 
      genblk3[11].COL_END_MASKED_REG register_WORD_WIDTH5_RESET_VALUE0_13                        23     57.112     0.000       57.112 
      genblk3[10].COL_END_MASKED_REG register_WORD_WIDTH5_RESET_VALUE0_12                        23     57.112     0.000       57.112 
      genblk3[9].COL_END_MASKED_REG  register_WORD_WIDTH5_RESET_VALUE0_11                        23     57.112     0.000       57.112 
      genblk3[8].COL_END_MASKED_REG  register_WORD_WIDTH5_RESET_VALUE0_10                        23     57.112     0.000       57.112 
      genblk3[7].COL_END_MASKED_REG  register_WORD_WIDTH5_RESET_VALUE0_9                         23     57.112     0.000       57.112 
      genblk3[6].COL_END_MASKED_REG  register_WORD_WIDTH5_RESET_VALUE0_8                         23     57.112     0.000       57.112 
      genblk3[5].COL_END_MASKED_REG  register_WORD_WIDTH5_RESET_VALUE0_7                         23     57.112     0.000       57.112 
      genblk3[4].COL_END_MASKED_REG  register_WORD_WIDTH5_RESET_VALUE0_6                         23     57.112     0.000       57.112 
      genblk3[3].COL_END_MASKED_REG  register_WORD_WIDTH5_RESET_VALUE0_5                         23     57.112     0.000       57.112 
      genblk3[2].COL_END_MASKED_REG  register_WORD_WIDTH5_RESET_VALUE0_4                         23     57.112     0.000       57.112 
      genblk3[1].COL_END_MASKED_REG  register_WORD_WIDTH5_RESET_VALUE0_3                         23     57.112     0.000       57.112 
