============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 04 2021  10:01:56 pm
  Module:                 axis_conv_engine
  Operating conditions:   BC0D88COM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                           Leakage      Dynamic       Total    
            Instance              Cells   Power(nW)    Power(nW)    Power(nW)  
-------------------------------------------------------------------------------
axis_conv_engine                 227309 11562786.905 42938747.959 54501534.864 
  ENGINE                         193934  7387011.946 31765767.069 39152779.015 
    PAD_FILTER                      754    52518.249   104859.751   157378.000 
      COL_END_REG                    23     2359.089     6613.875     8972.964 
      COL_START_REG                  23     2359.089     4781.768     7140.857 
      genblk3[0]..ND_MASKED_REG      23     2359.089     3996.026     6355.115 
      genblk3[1]..ND_MASKED_REG      23     2359.089     4018.191     6377.280 
      genblk3[2]..ND_MASKED_REG      23     2359.089     3933.327     6292.416 
      genblk3[3]..ND_MASKED_REG      23     2359.089     3829.781     6188.870 
      genblk3[4]..ND_MASKED_REG      23     2359.089     4223.210     6582.299 
      genblk3[5]..ND_MASKED_REG      23     2359.089     4494.016     6853.105 
      genblk3[6]..ND_MASKED_REG      23     2359.089     3933.327     6292.416 
      genblk3[7]..ND_MASKED_REG      23     2359.089     4206.102     6565.191 
      genblk3[8]..ND_MASKED_REG      23     2359.089     4156.071     6515.160 
      genblk3[9]..ND_MASKED_REG      23     2359.089     4440.586     6799.675 
      genblk3[10..ND_MASKED_REG      23     2359.089     4177.982     6537.071 
      genblk3[11..ND_MASKED_REG      23     2359.089     4022.022     6381.111 
      genblk3[12..ND_MASKED_REG      23     2359.089     4475.978     6835.067 
      genblk3[13..ND_MASKED_REG      23     2359.089     3844.682     6203.771 
      REG_CLR_LEFT                   19     1898.827     4717.070     6615.898 
    Cm[0].Gm[0..[0].Mm[0].MUL       616    19468.409    54326.629    73795.037 
      mul_74_23                     552    12104.218    36844.228    48948.446 
      REG                            64     7364.191    17482.401    24846.592 
    Cm[0].Gm[0..[0].Mm[1].MUL       616    19468.409    57035.629    76504.038 
      mul_74_23                     552    12104.218    38520.910    50625.128 
      REG                            64     7364.191    18514.719    25878.910 
    Cm[0].Gm[0..[0].Mm[2].MUL       616    19468.409    54181.841    73650.249 
      mul_74_23                     552    12104.218    36074.768    48178.986 
      REG                            64     7364.191    18107.072    25471.263 
    Cm[0].Gm[0..[0].Mm[3].MUL       616    19468.409    54722.360    74190.768 
      mul_74_23                     552    12104.218    36021.264    48125.481 
      REG                            64     7364.191    18701.096    26065.287 
    Cm[0].Gm[0..[0].Mm[4].MUL       616    19468.409    54334.018    73802.426 
      mul_74_23                     552    12104.218    36355.712    48459.930 
      REG                            64     7364.191    17978.306    25342.496 
    Cm[0].Gm[0..[0].Mm[5].MUL       616    19468.409    55688.542    75156.951 
      mul_74_23                     552    12104.218    37375.253    49479.471 
      REG                            64     7364.191    18313.289    25677.480 
    Cm[0].Gm[0..[0].Mm[6].MUL       616    19468.409    55660.694    75129.102 
      mul_74_23                     552    12104.218    37278.793    49383.010 
      REG                            64     7364.191    18381.901    25746.092 
    Cm[0].Gm[0..[0].Mm[7].MUL       616    19468.409    56648.256    76116.664 
      mul_74_23                     552    12104.218    38114.744    50218.962 
      REG                            64     7364.191    18533.512    25897.702 
    Cm[0].Gm[0..[0].Mm[8].MUL       616    19468.409    53117.681    72586.089 
      mul_74_23                     552    12104.218    35150.258    47254.476 
      REG                            64     7364.191    17967.423    25331.613 
    Cm[0].Gm[0..[0].Mm[9].MUL       616    19468.409    55224.232    74692.641 
      mul_74_23                     552    12104.218    36828.995    48933.213 
      REG                            64     7364.191    18395.237    25759.428 
    Cm[0].Gm[0..0].Mm[10].MUL       616    19468.409    55344.520    74812.928 
      mul_74_23                     552    12104.218    36422.680    48526.898 
      REG                            64     7364.191    18921.839    26286.030 
    Cm[0].Gm[0..0].Mm[11].MUL       616    19468.409    56691.931    76160.339 
      mul_74_23                     552    12104.218    38318.225    50422.443 
      REG                            64     7364.191    18373.706    25737.897 
    Cm[0].Gm[0..0].Mm[12].MUL       616    19468.409    55223.624    74692.032 
      mul_74_23                     552    12104.218    36285.054    48389.272 
      REG                            64     7364.191    18938.570    26302.761 
    Cm[0].Gm[0..0].Mm[13].MUL       616    19468.409    56319.081    75787.489 
      mul_74_23                     552    12104.218    38130.432    50234.650 
      REG                            64     7364.191    18188.648    25552.839 
    Cm[0].Gm[0..[1].Mm[0].MUL       616    19468.409    52810.624    72279.032 
      mul_74_23                     552    12104.218    34838.183    46942.401 
      REG                            64     7364.191    17972.440    25336.631 
    Cm[0].Gm[0..[1].Mm[1].MUL       616    19468.409    55775.064    75243.472 
      mul_74_23                     552    12104.218    37379.055    49483.273 
      REG                            64     7364.191    18396.009    25760.200 
    Cm[0].Gm[0..[1].Mm[2].MUL       616    19468.409    54986.281    74454.690 
      mul_74_23                     552    12104.218    36603.551    48707.769 
      REG                            64     7364.191    18382.730    25746.921 
    Cm[0].Gm[0..[1].Mm[3].MUL       616    19468.409    55456.494    74924.903 
      mul_74_23                     552    12104.218    36666.686    48770.904 
      REG                            64     7364.191    18789.808    26153.999 
    Cm[0].Gm[0..[1].Mm[4].MUL       616    19468.409    53105.060    72573.469 
      mul_74_23                     552    12104.218    35073.716    47177.934 
      REG                            64     7364.191    18031.344    25395.535 
    Cm[0].Gm[0..[1].Mm[5].MUL       616    19468.409    56337.237    75805.645 
      mul_74_23                     552    12104.218    37472.512    49576.730 
      REG                            64     7364.191    18864.724    26228.915 
    Cm[0].Gm[0..[1].Mm[6].MUL       616    19468.409    54447.340    73915.748 
      mul_74_23                     552    12104.218    36479.735    48583.953 
      REG                            64     7364.191    17967.605    25331.795 
    Cm[0].Gm[0..[1].Mm[7].MUL       616    19468.409    51954.510    71422.919 
      mul_74_23                     552    12104.218    33796.093    45900.311 
      REG                            64     7364.191    18158.418    25522.608 
    Cm[0].Gm[0..[1].Mm[8].MUL       616    19468.409    50282.051    69750.459 
      mul_74_23                     552    12104.218    32668.766    44772.984 
      REG                            64     7364.191    17613.284    24977.475 
    Cm[0].Gm[0..[1].Mm[9].MUL       616    19468.409    53723.693    73192.102 
      mul_74_23                     552    12104.218    35471.942    47576.160 
      REG                            64     7364.191    18251.751    25615.942 
    Cm[0].Gm[0..1].Mm[10].MUL       616    19468.409    52926.103    72394.512 
      mul_74_23                     552    12104.218    34326.219    46430.437 
      REG                            64     7364.191    18599.884    25964.075 
    Cm[0].Gm[0..1].Mm[11].MUL       616    19468.409    53624.728    73093.136 
      mul_74_23                     552    12104.218    35587.802    47692.019 
      REG                            64     7364.191    18036.926    25401.117 
    Cm[0].Gm[0..1].Mm[12].MUL       616    19468.409    53627.729    73096.137 
      mul_74_23                     552    12104.218    35444.816    47549.034 
      REG                            64     7364.191    18182.912    25547.103 
    Cm[0].Gm[0..1].Mm[13].MUL       616    19468.409    53234.360    72702.769 
      mul_74_23                     552    12104.218    35395.950    47500.168 
      REG                            64     7364.191    17838.410    25202.601 
    Cm[0].Gm[0..[2].Mm[0].MUL       616    19468.409    51238.832    70707.241 
      mul_74_23                     552    12104.218    33311.607    45415.825 
      REG                            64     7364.191    17927.225    25291.416 
    Cm[0].Gm[0..[2].Mm[1].MUL       616    19468.409    53959.969    73428.377 
      mul_74_23                     552    12104.218    36266.889    48371.107 
      REG                            64     7364.191    17693.079    25057.270 
    Cm[0].Gm[0..[2].Mm[2].MUL       616    19468.409    50678.019    70146.428 
      mul_74_23                     552    12104.218    32918.032    45022.250 
      REG                            64     7364.191    17759.987    25124.178 
    Cm[0].Gm[0..[2].Mm[3].MUL       616    19468.409    53471.539    72939.948 
      mul_74_23                     552    12104.218    35617.928    47722.146 
      REG                            64     7364.191    17853.612    25217.802 
    Cm[0].Gm[0..[2].Mm[4].MUL       616    19468.409    53833.802    73302.211 
      mul_74_23                     552    12104.218    36750.831    48855.048 
      REG                            64     7364.191    17082.972    24447.162 
    Cm[0].Gm[0..[2].Mm[5].MUL       616    19468.409    55457.079    74925.488 
      mul_74_23                     552    12104.218    37619.840    49724.058 
      REG                            64     7364.191    17837.239    25201.430 
    Cm[0].Gm[0..[2].Mm[6].MUL       616    19468.409    50619.083    70087.492 
      mul_74_23                     552    12104.218    32357.120    44461.338 
      REG                            64     7364.191    18261.963    25626.153 
