============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 04 2021  12:18:34 am
  Module:                 axis_conv_engine
  Technology libraries:   tcbn45gsbwpbc0d88 120
                          tcbn45gsbwpbc0d880d88 120
                          tcbn45gsbwpbc0d880d99 120
                          tcbn45gsbwpbc0d881d1 120
                          physical_cells 
  Operating conditions:   BC0D88COM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                    
    Gate      Instances     Area           Library       
---------------------------------------------------------
AN2D8BWP              2       7.056    tcbn45gsbwpbc0d88 
AN2XD1BWP            35      37.044    tcbn45gsbwpbc0d88 
AN3XD1BWP             2       2.470    tcbn45gsbwpbc0d88 
AO21D1BWP             2       2.470    tcbn45gsbwpbc0d88 
AO21D4BWP             2       5.292    tcbn45gsbwpbc0d88 
AO222D1BWP         4730   10012.464    tcbn45gsbwpbc0d88 
AOI21D1BWP            3       3.175    tcbn45gsbwpbc0d88 
AOI22D1BWP            1       1.235    tcbn45gsbwpbc0d88 
BUFFD16BWP            1       5.116    tcbn45gsbwpbc0d88 
CKAN2D1BWP         3724    3941.482    tcbn45gsbwpbc0d88 
CKBD12BWP             1       3.704    tcbn45gsbwpbc0d88 
CKBD1BWP             14       9.878    tcbn45gsbwpbc0d88 
CKMUX2D1BWP        2730    4815.720    tcbn45gsbwpbc0d88 
CKND0BWP            981     519.145    tcbn45gsbwpbc0d88 
CKND16BWP             1       3.881    tcbn45gsbwpbc0d88 
CKND2D0BWP         8820    6223.392    tcbn45gsbwpbc0d88 
CKND2D1BWP          185     130.536    tcbn45gsbwpbc0d88 
CKND8BWP              3       6.350    tcbn45gsbwpbc0d88 
CKXOR2D1BWP         392     691.488    tcbn45gsbwpbc0d88 
CMPE42D1BWP        2352   20329.747    tcbn45gsbwpbc0d88 
DFD1BWP               1       3.881    tcbn45gsbwpbc0d88 
DFKCSND1BWP           1       4.763    tcbn45gsbwpbc0d88 
DFQD1BWP           4732   16694.496    tcbn45gsbwpbc0d88 
EDFQD1BWP         12631   60158.927    tcbn45gsbwpbc0d88 
FA1D0BWP           8428   37167.480    tcbn45gsbwpbc0d88 
FCICIND1BWP         196     449.467    tcbn45gsbwpbc0d88 
HA1D0BWP           1176    3526.589    tcbn45gsbwpbc0d88 
IAO21D1BWP            1       1.235    tcbn45gsbwpbc0d88 
IND2D1BWP             1       1.058    tcbn45gsbwpbc0d88 
IND2D4BWP             1       2.822    tcbn45gsbwpbc0d88 
INR2D1BWP             1       1.058    tcbn45gsbwpbc0d88 
INR2D4BWP             1       2.646    tcbn45gsbwpbc0d88 
INR2XD0BWP         4903    5189.335    tcbn45gsbwpbc0d88 
INVD12BWP            25      74.970    tcbn45gsbwpbc0d88 
INVD16BWP            51     197.921    tcbn45gsbwpbc0d88 
INVD1BWP           2159    1142.543    tcbn45gsbwpbc0d88 
INVD3BWP              1       1.058    tcbn45gsbwpbc0d88 
INVD6BWP              1       1.588    tcbn45gsbwpbc0d88 
IOA21D1BWP         1638    2022.602    tcbn45gsbwpbc0d88 
MAOI222D0BWP        392     553.190    tcbn45gsbwpbc0d88 
MOAI22D4BWP           1       2.646    tcbn45gsbwpbc0d88 
MUX2D1BWP             1       1.764    tcbn45gsbwpbc0d88 
NR2D0BWP            196     138.298    tcbn45gsbwpbc0d88 
NR2D1BWP              1       0.706    tcbn45gsbwpbc0d88 
NR2D2BWP              1       1.235    tcbn45gsbwpbc0d88 
OA21D1BWP             1       1.235    tcbn45gsbwpbc0d88 
OAI21D1BWP            1       1.058    tcbn45gsbwpbc0d88 
OR2D0BWP            392     414.893    tcbn45gsbwpbc0d88 
OR2D1BWP             14      14.818    tcbn45gsbwpbc0d88 
OR2D8BWP             14      49.392    tcbn45gsbwpbc0d88 
OR2XD1BWP             1       1.058    tcbn45gsbwpbc0d88 
XNR2D0BWP           196     345.744    tcbn45gsbwpbc0d88 
XNR3D1BWP           196     622.339    tcbn45gsbwpbc0d88 
XOR3D0BWP           196     622.339    tcbn45gsbwpbc0d88 
XOR3D1BWP           392    1244.678    tcbn45gsbwpbc0d88 
---------------------------------------------------------
total             61924  177411.478                      


                                           
     Type      Instances    Area    Area % 
-------------------------------------------
sequential         17365  76862.066   43.3 
inverter            3222   1947.456    1.1 
buffer                16     18.698    0.0 
logic              41321  98583.257   55.6 
physical_cells         0      0.000    0.0 
-------------------------------------------
total              61924 177411.478  100.0 

