============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 03 2021  09:10:51 pm
  Module:                 axis_conv_engine
  Operating conditions:   BCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                         Leakage      Dynamic       Total    
            Instance             Cells  Power(nW)    Power(nW)    Power(nW)  
-----------------------------------------------------------------------------
axis_conv_engine                 25114 4587582.757 23402648.303 27990231.060 
  SLICE                          18598 3651677.952 18161883.542 21813561.494 
  ENGINE                          6515  935877.407  5240351.918  6176229.325 
    MUL_CONTROL                     45   11760.650    51765.071    63525.721 
      delay_reg_..0].m_data_reg     15    3979.172    17328.762    21307.934 
      delay_reg_..1].m_data_reg     15    3890.739    17157.629    21048.368 
      delay_reg_..2].m_data_reg     15    3890.739    17278.680    21169.419 
    PAD_FILTER                      53    7897.644    18340.405    26238.049 
      REG_CLR_LEFT                   2     522.900     2233.779     2756.679 
      COL_START_REG                  1     267.510     1163.385     1430.895 
      genblk3[1]..ND_MASKED_REG      1     260.481     1085.823     1346.304 
      genblk3[4]..ND_MASKED_REG      1     260.481     1085.823     1346.304 
      genblk3[7]..ND_MASKED_REG      1     260.481     1085.823     1346.304 
      genblk3[10..ND_MASKED_REG      1     260.481     1085.823     1346.304 
      COL_END_REG                    1     259.715     1107.755     1367.469 
      genblk3[0]..ND_MASKED_REG      1     259.121      936.735     1195.856 
      genblk3[2]..ND_MASKED_REG      1     259.121      936.735     1195.856 
      genblk3[3]..ND_MASKED_REG      1     259.121      936.735     1195.856 
      genblk3[5]..ND_MASKED_REG      1     259.121      936.735     1195.856 
      genblk3[6]..ND_MASKED_REG      1     259.121      936.735     1195.856 
      genblk3[8]..ND_MASKED_REG      1     259.121      936.735     1195.856 
      genblk3[9]..ND_MASKED_REG      1     259.121      936.735     1195.856 
      genblk3[11..ND_MASKED_REG      1     259.121      936.735     1195.856 
    ACC_USER                        12    3160.982    12371.299    15532.280 
      delay_reg_..0].m_data_reg     12    3160.982    12371.299    15532.280 
    ACC_VALID_LAST                   2     506.368     2244.379     2750.747 
      delay_reg_..0].m_data_reg      2     506.368     2244.379     2750.747 
    MUX_SEL                          2     448.216     1500.014     1948.231 
    Mb[0].BYPASS_SUM                 1     256.624     1015.435     1272.060 
    Mb[9].BYPASS_SUM                 1     256.624     1015.435     1272.060 
    Mb[1].BYPASS_SUM                 1     256.479     1036.512     1292.990 
    Mb[4].BYPASS_SUM                 1     256.479     1036.512     1292.990 
    Mb[5].BYPASS_SUM                 1     256.479     1036.512     1292.990 
    Mb[8].BYPASS_SUM                 1     256.479     1036.512     1292.990 
    Mb[3].BYPASS_SUM                 1     256.300     1011.196     1267.496 
    Mb[6].BYPASS_SUM                 1     256.300     1011.196     1267.496 
    Mb[2].BYPASS_SUM                 1     256.151     1046.558     1302.709 
    Mb[7].BYPASS_SUM                 1     256.151     1046.558     1302.709 
    Mb[10].BYPASS_SUM                1     256.151     1046.558     1302.709 
    Mb[11].BYPASS_SUM                1     256.151     1046.558     1302.709 
    Ca[0].Ga[0..[0].Ma[0].ACC        0       0.000  1348837.051  1348837.051 
    Ca[0].Ga[0..[0].Ma[1].ACC        0       0.000  1349296.983  1349296.983 
    Ca[0].Ga[0..[0].Ma[2].ACC        0       0.000  1349535.883  1349535.883 
    Ca[0].Ga[0..[0].Ma[3].ACC        0       0.000  1349486.367  1349486.367 
    Ca[0].Ga[0..[0].Ma[4].ACC        0       0.000  1349552.856  1349552.856 
    Ca[0].Ga[0..[0].Ma[5].ACC        0       0.000  1349575.316  1349575.316 
    Ca[0].Ga[0..[0].Ma[6].ACC        0       0.000  1349554.642  1349554.642 
    Ca[0].Ga[0..[0].Ma[7].ACC        0       0.000  1349335.141  1349335.141 
    Ca[0].Ga[0..[0].Ma[8].ACC        0       0.000  1349500.022  1349500.022 
    Ca[0].Ga[0..[0].Ma[9].ACC        0       0.000  1349546.347  1349546.347 
