============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 08 2021  03:21:46 am
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpcgtc 200
                          tcbn45gsbwptc 120
                          physical_cells 
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                    
    Gate      Instances     Area         Library     
-----------------------------------------------------
AN2D0BWP              2       2.117    tcbn45gsbwptc 
AN2D2BWP             35      43.218    tcbn45gsbwptc 
AN2D4BWP              2       4.234    tcbn45gsbwptc 
AN2D8BWP              4      14.112    tcbn45gsbwptc 
AN2XD1BWP          4789    5068.678    tcbn45gsbwptc 
AN3D2BWP              1       1.411    tcbn45gsbwptc 
AN3D8BWP              2       8.467    tcbn45gsbwptc 
AN3XD1BWP            15      18.522    tcbn45gsbwptc 
AN4D0BWP              2       2.822    tcbn45gsbwptc 
AN4D1BWP              5       7.056    tcbn45gsbwptc 
AO211D1BWP            8      11.290    tcbn45gsbwptc 
AO21D1BWP           275     339.570    tcbn45gsbwptc 
AO21D2BWP             6       8.467    tcbn45gsbwptc 
AO21D4BWP             2       5.292    tcbn45gsbwptc 
AO221D1BWP          793    1538.737    tcbn45gsbwptc 
AO222D1BWP         1150    2434.320    tcbn45gsbwptc 
AO22D0BWP           478     758.873    tcbn45gsbwptc 
AO22D1BWP           795    1262.142    tcbn45gsbwptc 
AO22D2BWP           107     207.623    tcbn45gsbwptc 
AO22D4BWP            21      66.679    tcbn45gsbwptc 
AO31D1BWP             3       4.234    tcbn45gsbwptc 
AO32D1BWP             1       1.940    tcbn45gsbwptc 
AO32D2BWP             1       2.117    tcbn45gsbwptc 
AOI211XD0BWP        284     350.683    tcbn45gsbwptc 
AOI21D1BWP          262     277.301    tcbn45gsbwptc 
AOI21D2BWP            7      11.113    tcbn45gsbwptc 
AOI21D4BWP           61     193.687    tcbn45gsbwptc 
AOI221D1BWP         678    1076.393    tcbn45gsbwptc 
AOI221D2BWP          20      56.448    tcbn45gsbwptc 
AOI221D4BWP           5      14.112    tcbn45gsbwptc 
AOI221XD4BWP          2      10.584    tcbn45gsbwptc 
AOI222D1BWP          91     176.576    tcbn45gsbwptc 
AOI22D0BWP            1       1.235    tcbn45gsbwptc 
AOI22D1BWP         2060    2543.688    tcbn45gsbwptc 
AOI22D2BWP          205     433.944    tcbn45gsbwptc 
AOI22D4BWP           45     190.512    tcbn45gsbwptc 
AOI31D1BWP            2       2.470    tcbn45gsbwptc 
AOI31D2BWP            1       2.117    tcbn45gsbwptc 
AOI32D1BWP            5       7.056    tcbn45gsbwptc 
AOI33D1BWP            1       1.764    tcbn45gsbwptc 
BUFFD12BWP            9      34.927    tcbn45gsbwptc 
BUFFD16BWP          143     731.531    tcbn45gsbwptc 
BUFFD2BWP            76      80.438    tcbn45gsbwptc 
BUFFD3BWP            63      77.792    tcbn45gsbwptc 
BUFFD4BWP           313     496.919    tcbn45gsbwptc 
BUFFD6BWP           159     336.571    tcbn45gsbwptc 
BUFFD8BWP            48     135.475    tcbn45gsbwptc 
CKAN2D2BWP           19      23.461    tcbn45gsbwptc 
CKBD0BWP             10       7.056    tcbn45gsbwptc 
CKBD12BWP            78     288.943    tcbn45gsbwptc 
CKBD16BWP            39     185.749    tcbn45gsbwptc 
CKBD1BWP           1166     822.730    tcbn45gsbwptc 
CKBD2BWP           5022    5315.285    tcbn45gsbwptc 
CKBD4BWP            309     490.568    tcbn45gsbwptc 
CKBD6BWP             69     146.059    tcbn45gsbwptc 
CKBD8BWP              8      22.579    tcbn45gsbwptc 
CKLNQD1BWP          519    1739.480    tcbn45gsbwptc 
CKMUX2D0BWP          62     109.368    tcbn45gsbwptc 
CKMUX2D1BWP       10895   19218.780    tcbn45gsbwptc 
CKMUX2D2BWP          43      83.437    tcbn45gsbwptc 
CKMUX2D4BWP           3       8.996    tcbn45gsbwptc 
CKND0BWP             31      16.405    tcbn45gsbwptc 
CKND12BWP            45     134.946    tcbn45gsbwptc 
CKND16BWP            55     213.444    tcbn45gsbwptc 
CKND1BWP            102      53.978    tcbn45gsbwptc 
CKND2BWP            669     472.046    tcbn45gsbwptc 
CKND2D1BWP         1782    1257.379    tcbn45gsbwptc 
CKND2D2BWP           94     116.071    tcbn45gsbwptc 
